Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 13:25:24.485,17.2,21.1
2025-03-15 13:25:24.686,14.3,21.1
2025-03-15 13:25:24.887,16.6,21.1
2025-03-15 13:25:25.088,15.5,21.1
2025-03-15 13:25:25.288,15.9,21.1
2025-03-15 13:25:25.489,30.6,21.2
2025-03-15 13:25:25.690,15.3,21.2
2025-03-15 13:25:25.890,16.6,21.2
2025-03-15 13:25:26.091,19.5,21.2
2025-03-15 13:25:26.292,21.4,21.2
2025-03-15 13:25:26.493,24.3,21.2
2025-03-15 13:25:26.693,22.3,21.2
2025-03-15 13:25:26.894,33.1,21.2
2025-03-15 13:25:27.095,19.7,21.2
2025-03-15 13:25:27.296,17.7,21.1
2025-03-15 13:25:27.496,20.3,21.1
2025-03-15 13:25:27.697,15.3,21.2
2025-03-15 13:25:27.898,20.0,21.2
2025-03-15 13:25:28.098,25.0,21.2
2025-03-15 13:25:28.299,20.1,21.2
2025-03-15 13:25:28.500,18.9,21.2
2025-03-15 13:25:28.701,18.1,21.2
2025-03-15 13:25:28.901,16.4,21.2
2025-03-15 13:25:29.102,20.6,21.2
2025-03-15 13:25:29.303,30.4,21.2
2025-03-15 13:25:29.504,23.4,21.2
2025-03-15 13:25:29.705,19.2,21.2
2025-03-15 13:25:29.905,16.1,21.2
2025-03-15 13:25:30.106,14.7,21.2
2025-03-15 13:25:30.307,13.5,21.2
2025-03-15 13:25:30.507,20.5,21.1
2025-03-15 13:25:30.708,20.0,21.1
2025-03-15 13:25:30.909,34.7,21.2
2025-03-15 13:25:31.110,13.5,21.2
2025-03-15 13:25:31.311,16.0,21.1
2025-03-15 13:25:31.512,18.2,21.1
2025-03-15 13:25:31.712,17.6,21.1
2025-03-15 13:25:31.913,18.0,21.1
2025-03-15 13:25:32.114,14.7,21.1
2025-03-15 13:25:32.315,29.5,21.1
2025-03-15 13:25:32.515,22.1,21.1
2025-03-15 13:25:32.716,15.3,21.1
2025-03-15 13:25:32.917,17.4,21.1
2025-03-15 13:25:33.118,14.0,21.1
2025-03-15 13:25:33.318,14.7,21.1
2025-03-15 13:25:33.519,32.4,21.2
2025-03-15 13:25:33.720,13.4,21.2
2025-03-15 13:25:33.921,17.8,21.2
2025-03-15 13:25:34.122,13.4,21.1
2025-03-15 13:25:34.323,15.3,21.1
2025-03-15 13:25:34.524,25.3,21.2
2025-03-15 13:25:34.725,28.7,21.2
2025-03-15 13:25:34.926,28.7,21.2
2025-03-15 13:25:35.127,13.7,21.1
2025-03-15 13:25:35.327,14.5,21.1
2025-03-15 13:25:35.528,20.1,21.2
2025-03-15 13:25:35.729,14.0,21.2
2025-03-15 13:25:35.929,16.1,21.2
2025-03-15 13:25:36.130,23.2,21.2
2025-03-15 13:25:36.331,16.9,21.2
2025-03-15 13:25:36.532,21.9,21.2
2025-03-15 13:25:36.733,13.5,21.2
2025-03-15 13:25:36.933,16.9,21.2
2025-03-15 13:25:37.134,13.3,21.2
2025-03-15 13:25:37.335,17.7,21.2
2025-03-15 13:25:37.535,35.1,21.2
2025-03-15 13:25:37.736,13.6,21.2
2025-03-15 13:25:37.937,16.3,21.2
2025-03-15 13:25:38.138,12.8,21.2
2025-03-15 13:25:38.339,15.7,21.2
2025-03-15 13:25:38.539,24.1,21.2
2025-03-15 13:25:38.740,37.7,21.2
2025-03-15 13:25:38.941,30.9,21.2
2025-03-15 13:25:39.141,12.8,21.2
2025-03-15 13:25:39.342,12.2,21.2
2025-03-15 13:25:39.543,14.9,21.2
2025-03-15 13:25:39.744,12.7,21.2
2025-03-15 13:25:39.945,17.4,21.2
2025-03-15 13:25:40.145,28.7,21.2
2025-03-15 13:25:40.346,31.8,21.1
2025-03-15 13:25:40.547,12.2,21.1
2025-03-15 13:25:40.747,13.9,21.1
2025-03-15 13:25:40.948,16.8,21.1
2025-03-15 13:25:41.149,13.9,21.2
2025-03-15 13:25:41.350,14.3,21.2
2025-03-15 13:25:41.550,38.3,21.2
2025-03-15 13:25:41.751,20.2,21.2
2025-03-15 13:25:41.952,17.7,21.2
2025-03-15 13:25:42.153,14.5,21.2
2025-03-15 13:25:42.354,14.6,21.2
2025-03-15 13:25:42.555,16.6,21.2
2025-03-15 13:25:42.756,15.4,21.2
2025-03-15 13:25:42.957,35.3,21.2
2025-03-15 13:25:43.157,14.1,21.2
2025-03-15 13:25:43.358,13.2,21.2
2025-03-15 13:25:43.559,11.6,21.2
2025-03-15 13:25:43.760,14.7,21.2
2025-03-15 13:25:43.960,10.9,21.2
