X_true,Y_true,X_Fake,Y_Fake,Re-Localize_time (ms),Pose Diff,Status
0,0,0.8915057200072245,0.15252662465843758,93.6281681060791,0.9044594076216443,Success
0,0,0.10232010221418397,-0.3141805842640917,153.39422225952148,0.3304222190556305,Success
0,0,-0.3887602861380046,0.5506730027972844,152.38547325134277,0.6740736725966096,Success
0,0,-0.4707897501105547,-0.14586021522611836,350.57663917541504,0.49286731601412576,Success
0,0,-0.7797377266054035,-0.6467002355310865,159.20591354370117,1.0130212815769102,Success
0,0,-0.7115274796351221,0.3028987661260041,545.5174446105957,0.7733168928690002,Success
0,0,-0.5279382022776402,-0.02102648482915992,197.00860977172852,0.5283567530451536,Success
0,0,0.45656036196275274,-0.01185381687845366,156.9349765777588,0.45671421818260455,Success
0,0,-0.6125256288914347,-0.0686074222854487,189.18561935424805,0.6163559235064603,Success
0,0,0.7445014014551712,-0.8939050268836157,175.49800872802734,1.1633350909589686,Success
