Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 13:23:12.993,12.8,21.0
2025-03-15 13:23:13.195,12.7,21.0
2025-03-15 13:23:13.396,12.2,21.0
2025-03-15 13:23:13.596,14.6,21.0
2025-03-15 13:23:13.797,17.6,21.0
2025-03-15 13:23:13.998,29.5,21.1
2025-03-15 13:23:14.198,14.4,21.1
2025-03-15 13:23:14.399,12.1,21.1
2025-03-15 13:23:14.600,15.0,21.1
2025-03-15 13:23:14.800,16.4,21.1
2025-03-15 13:23:15.001,32.5,21.1
2025-03-15 13:23:15.202,19.5,21.2
2025-03-15 13:23:15.402,17.6,21.2
2025-03-15 13:23:15.603,15.9,21.2
2025-03-15 13:23:15.804,16.7,21.2
2025-03-15 13:23:16.005,23.8,21.1
2025-03-15 13:23:16.206,20.2,21.1
2025-03-15 13:23:16.407,24.7,21.1
2025-03-15 13:23:16.608,12.0,21.1
2025-03-15 13:23:16.808,15.4,21.1
2025-03-15 13:23:17.009,19.6,21.1
2025-03-15 13:23:17.210,20.4,21.1
2025-03-15 13:23:17.411,21.1,21.1
2025-03-15 13:23:17.611,17.5,21.1
2025-03-15 13:23:17.812,12.0,21.1
2025-03-15 13:23:18.013,16.1,21.1
2025-03-15 13:23:18.214,11.3,21.1
2025-03-15 13:23:18.414,13.3,21.1
2025-03-15 13:23:18.615,12.7,21.1
2025-03-15 13:23:18.816,27.7,21.1
2025-03-15 13:23:19.017,22.4,21.1
2025-03-15 13:23:19.218,11.3,21.1
2025-03-15 13:23:19.419,14.0,21.1
2025-03-15 13:23:19.620,16.7,21.1
2025-03-15 13:23:19.821,11.3,21.1
2025-03-15 13:23:20.022,38.3,21.2
2025-03-15 13:23:20.222,13.6,21.1
2025-03-15 13:23:20.423,17.4,21.1
2025-03-15 13:23:20.624,12.5,21.1
2025-03-15 13:23:20.825,15.9,21.2
2025-03-15 13:23:21.026,20.4,21.2
2025-03-15 13:23:21.227,22.5,21.2
2025-03-15 13:23:21.428,21.7,21.2
2025-03-15 13:23:21.629,11.8,21.2
2025-03-15 13:23:21.829,12.2,21.2
2025-03-15 13:23:22.031,13.3,21.2
2025-03-15 13:23:22.231,14.9,21.2
2025-03-15 13:23:22.432,19.9,21.1
2025-03-15 13:23:22.633,27.2,21.1
2025-03-15 13:23:22.834,16.6,21.1
2025-03-15 13:23:23.035,14.6,21.1
2025-03-15 13:23:23.236,13.7,21.2
2025-03-15 13:23:23.436,17.3,21.1
2025-03-15 13:23:23.637,15.4,21.1
2025-03-15 13:23:23.838,31.6,21.2
2025-03-15 13:23:24.039,14.6,21.2
