MCL_time,MCL_X,MCL_Y,Odom_time,Odom_X,Odom_Y,Distance
552.123,0.0039149002494708535,0.009633080594927351,552.384,0.004543650434748272,1.015961733225332e-06,0.009652564213384724
552.323,0.003928748303035049,0.009633020257977097,552.484,0.004552862702887607,1.0200790604448317e-06,0.009652199036010072
552.323,0.003928748303035049,0.009633020257977097,552.584,0.004562074970976542,1.0242045685789918e-06,0.009652794965252455
552.423,0.0039425316341285795,0.009633105323807279,552.684,0.004571287239040739,1.028338257536764e-06,0.009652576892533179
552.423,0.0039425316341285795,0.009633105323807279,552.784,0.0045804995070995065,1.0324801272242694e-06,0.00965317721130726
552.623,0.0039563850288314,0.009633033511897078,552.884,0.0053907641630741064,1.1256472851075204e-06,0.009738125723830269
552.823,0.003992094086709046,0.009630596830862266,552.984,0.008183667686685535,-6.286719334932769e-06,0.010508987287273747
552.823,0.003992094086709046,0.009630596830862266,553.084,0.013002217459536483,-5.36511007435803e-05,0.013227508502903463
552.923,0.007014331246366677,0.006797215424387605,553.184,0.019804149782119092,-0.00020244693720048397,0.014579942776077999
552.923,0.007014331246366677,0.006797215424387605,553.284,0.028596988418317003,-0.0005462424813406225,0.02279775130610783
553.123,0.01621807179885234,0.0074217888918370785,553.384,0.03939145706294836,-0.0012085069974262625,0.02472827919072531
553.223,0.026378745009984373,0.01660406093501384,553.484,0.052153728900266275,-0.0023406456399446677,0.031988305703109184
553.223,0.026378745009984373,0.01660406093501384,553.584,0.06685724579344283,-0.004123669629617778,0.04547689347389959
553.423,0.04492979390121023,0.013801742502970378,553.684,0.0834586328063733,-0.006766506257516483,0.04367521361657293
553.423,0.04492979390121023,0.013801742502970378,553.784,0.10189106489500069,-0.010503994036938325,0.06193024480797317
553.623,0.078358168756216,0.00904216878930908,553.884,0.12205904831493604,-0.01559448273355087,0.05016703571534392
553.623,0.078358168756216,0.00904216878930908,553.984,0.14384282482126415,-0.022320039118476572,0.07260735682290617
553.723,0.07528345641550957,0.009124059362759887,554.084,0.16707964702228148,-0.030977587927403478,0.10017326352525141
553.923,0.11891080717953922,-0.001517232696078401,554.184,0.1915629443528915,-0.041874407515742715,0.08310857113006181
553.923,0.11891080717953922,-0.001517232696078401,554.284,0.21705369693387405,-0.055280868843785864,0.11190422414348172
554.123,0.1685592428879296,-0.018035144016072136,554.384,0.243335561471616,-0.07134463590632517,0.0918335436892529
554.123,0.1685592428879296,-0.018035144016072136,554.484,0.27021877423857327,-0.09014839985549318,0.12463940782190157
554.323,0.21230231532393395,-0.03887417855697787,554.584,0.297435738390666,-0.11185246063633443,0.11213175009029921
554.323,0.21230231532393395,-0.03887417855697787,554.684,0.3246153911328485,-0.13659953377929746,0.14887737252849248
554.523,0.26788932436753565,-0.07335700513694181,554.784,0.3515597004601582,-0.1644833164638453,0.12371231325752764
