Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 14:35:02.403,13.9,21.2
2025-03-15 14:35:02.605,17.8,21.3
2025-03-15 14:35:02.805,18.9,21.3
2025-03-15 14:35:03.007,18.5,21.2
2025-03-15 14:35:03.207,16.7,21.2
2025-03-15 14:35:03.408,21.5,21.3
2025-03-15 14:35:03.609,14.0,21.3
2025-03-15 14:35:03.809,14.6,21.3
2025-03-15 14:35:04.010,17.9,21.3
2025-03-15 14:35:04.211,40.7,21.3
2025-03-15 14:35:04.412,25.9,21.3
2025-03-15 14:35:04.612,14.2,21.4
2025-03-15 14:35:04.813,19.6,21.4
2025-03-15 14:35:05.014,16.1,21.3
2025-03-15 14:35:05.215,20.5,21.4
2025-03-15 14:35:05.416,19.2,21.3
2025-03-15 14:35:05.617,24.3,21.3
2025-03-15 14:35:05.817,37.4,21.3
2025-03-15 14:35:06.018,17.9,21.4
2025-03-15 14:35:06.219,14.8,21.3
2025-03-15 14:35:06.420,19.9,21.3
2025-03-15 14:35:06.620,14.8,21.4
2025-03-15 14:35:06.821,21.0,21.4
2025-03-15 14:35:07.022,30.6,21.4
2025-03-15 14:35:07.223,24.7,21.4
2025-03-15 14:35:07.424,22.6,21.4
2025-03-15 14:35:07.624,12.8,21.4
2025-03-15 14:35:07.825,20.7,21.4
2025-03-15 14:35:08.026,15.8,21.4
2025-03-15 14:35:08.227,14.0,21.4
2025-03-15 14:35:08.427,39.4,21.4
2025-03-15 14:35:08.628,34.2,21.4
2025-03-15 14:35:08.829,19.6,21.4
2025-03-15 14:35:09.029,13.4,21.4
2025-03-15 14:35:09.230,14.1,21.4
2025-03-15 14:35:09.431,20.8,21.3
2025-03-15 14:35:09.632,14.9,21.4
2025-03-15 14:35:09.833,36.6,21.4
2025-03-15 14:35:10.034,30.4,21.4
2025-03-15 14:35:10.235,15.7,21.4
2025-03-15 14:35:10.436,20.0,21.4
2025-03-15 14:35:10.637,14.8,21.4
2025-03-15 14:35:10.837,26.8,21.4
2025-03-15 14:35:11.038,18.2,21.4
2025-03-15 14:35:11.239,16.3,21.4
2025-03-15 14:35:11.440,29.5,21.4
2025-03-15 14:35:11.640,18.6,21.4
2025-03-15 14:35:11.841,23.8,21.4
2025-03-15 14:35:12.042,16.0,21.4
2025-03-15 14:35:12.243,21.6,21.4
2025-03-15 14:35:12.444,28.4,21.4
2025-03-15 14:35:12.644,37.8,21.4
2025-03-15 14:35:12.845,25.8,21.3
2025-03-15 14:35:13.046,21.9,21.4
2025-03-15 14:35:13.247,15.9,21.4
2025-03-15 14:35:13.448,19.1,21.3
2025-03-15 14:35:13.649,19.6,21.4
2025-03-15 14:35:13.849,18.5,21.3
2025-03-15 14:35:14.050,22.4,21.3
2025-03-15 14:35:14.251,24.8,21.3
2025-03-15 14:35:14.452,20.8,21.3
2025-03-15 14:35:14.652,14.8,21.3
2025-03-15 14:35:14.853,24.3,21.3
2025-03-15 14:35:15.054,17.8,21.3
2025-03-15 14:35:15.255,18.6,21.3
2025-03-15 14:35:15.456,31.8,21.3
2025-03-15 14:35:15.656,15.4,21.3
2025-03-15 14:35:15.857,24.8,21.3
2025-03-15 14:35:16.058,23.2,21.4
2025-03-15 14:35:16.259,16.6,21.4
2025-03-15 14:35:16.459,29.1,21.4
2025-03-15 14:35:16.660,23.5,21.4
2025-03-15 14:35:16.861,39.5,21.4
2025-03-15 14:35:17.062,17.0,21.4
2025-03-15 14:35:17.263,16.0,21.4
2025-03-15 14:35:17.463,18.4,21.4
2025-03-15 14:35:17.664,14.9,21.4
2025-03-15 14:35:17.865,27.4,21.4
2025-03-15 14:35:18.066,27.6,21.4
2025-03-15 14:35:18.267,38.4,21.4
2025-03-15 14:35:18.467,15.4,21.4
2025-03-15 14:35:18.668,16.2,21.4
2025-03-15 14:35:18.869,16.0,21.4
2025-03-15 14:35:19.070,16.7,21.4
2025-03-15 14:35:19.270,22.5,21.4
2025-03-15 14:35:19.471,29.8,21.4
2025-03-15 14:35:19.672,37.8,21.4
2025-03-15 14:35:19.873,20.4,21.3
2025-03-15 14:35:20.073,20.5,21.3
2025-03-15 14:35:20.274,21.6,21.3
2025-03-15 14:35:20.475,20.1,21.4
2025-03-15 14:35:20.676,24.1,21.4
2025-03-15 14:35:20.876,39.2,21.4
2025-03-15 14:36:04.790,12.0,21.4
2025-03-15 14:36:04.991,14.4,21.4
2025-03-15 14:36:05.192,21.3,21.4
2025-03-15 14:36:05.392,16.8,21.4
2025-03-15 14:36:05.593,11.5,21.4
2025-03-15 14:36:05.794,20.7,21.5
2025-03-15 14:36:05.995,13.2,21.5
2025-03-15 14:36:06.195,36.4,21.5
2025-03-15 14:36:06.396,15.3,21.5
2025-03-15 14:36:06.597,22.4,21.5
2025-03-15 14:36:06.798,19.0,21.4
2025-03-15 14:36:06.998,16.0,21.4
2025-03-15 14:36:07.199,15.9,21.5
2025-03-15 14:36:07.400,15.9,21.4
2025-03-15 14:36:07.601,28.4,21.4
2025-03-15 14:36:07.802,26.2,21.4
2025-03-15 14:36:08.003,13.8,21.4
2025-03-15 14:36:08.203,16.2,21.4
2025-03-15 14:36:08.404,12.1,21.4
2025-03-15 14:36:08.605,12.1,21.4
2025-03-15 14:36:08.806,22.2,21.4
2025-03-15 14:36:09.007,24.1,21.4
2025-03-15 14:36:09.207,19.0,21.4
2025-03-15 14:36:09.408,14.6,21.4
2025-03-15 14:36:09.609,12.2,21.4
2025-03-15 14:36:09.810,20.4,21.4
2025-03-15 14:36:10.011,16.0,21.4
2025-03-15 14:36:10.211,36.6,21.4
2025-03-15 14:36:10.412,16.0,21.4
2025-03-15 14:36:10.613,12.2,21.4
2025-03-15 14:36:10.814,22.0,21.4
2025-03-15 14:36:11.015,20.4,21.4
2025-03-15 14:36:11.216,19.7,21.4
2025-03-15 14:36:11.417,30.5,21.4
2025-03-15 14:36:11.617,27.0,21.4
2025-03-15 14:36:11.818,20.5,21.4
2025-03-15 14:36:12.019,13.4,21.4
2025-03-15 14:36:12.219,19.7,21.4
2025-03-15 14:36:12.420,15.3,21.4
2025-03-15 14:36:12.621,27.9,21.4
2025-03-15 14:36:12.822,28.1,21.4
2025-03-15 14:36:13.022,16.8,21.4
2025-03-15 14:36:13.223,20.0,21.4
2025-03-15 14:36:13.424,12.8,21.4
2025-03-15 14:36:13.625,17.9,21.4
2025-03-15 14:36:13.825,27.8,21.4
2025-03-15 14:36:14.026,30.1,21.4
2025-03-15 14:36:14.227,22.3,21.4
2025-03-15 14:36:14.428,27.5,21.4
2025-03-15 14:36:14.628,16.0,21.4
2025-03-15 14:36:14.829,17.3,21.4
2025-03-15 14:36:15.030,15.5,21.4
2025-03-15 14:36:15.231,19.5,21.4
2025-03-15 14:36:15.431,22.6,21.4
2025-03-15 14:36:15.632,30.3,21.5
2025-03-15 14:36:15.833,19.3,21.5
2025-03-15 14:36:16.034,14.9,21.5
2025-03-15 14:36:16.235,24.2,21.5
2025-03-15 14:36:16.436,15.8,21.5
2025-03-15 14:36:16.636,19.6,21.5
2025-03-15 14:36:16.837,40.6,21.5
2025-03-15 14:36:37.593,14.4,21.3
2025-03-15 14:36:37.794,12.6,21.3
2025-03-15 14:36:37.995,15.0,21.3
2025-03-15 14:36:38.196,22.5,21.3
2025-03-15 14:36:38.397,34.3,21.3
2025-03-15 14:36:38.597,19.2,21.4
2025-03-15 14:36:38.798,15.5,21.4
2025-03-15 14:36:38.999,12.8,21.4
2025-03-15 14:36:39.199,14.4,21.4
2025-03-15 14:36:39.400,17.2,21.5
2025-03-15 14:36:39.601,36.9,21.5
2025-03-15 14:36:39.802,28.3,21.5
2025-03-15 14:36:40.003,19.6,21.5
2025-03-15 14:36:40.203,13.2,21.5
2025-03-15 14:36:40.404,19.6,21.4
2025-03-15 14:36:40.605,16.8,21.5
2025-03-15 14:36:40.806,13.3,21.4
2025-03-15 14:36:41.007,13.4,21.4
2025-03-15 14:36:41.208,24.9,21.5
2025-03-15 14:36:41.409,21.8,21.5
2025-03-15 14:36:41.609,19.1,21.5
2025-03-15 14:36:41.810,14.5,21.5
2025-03-15 14:36:42.011,16.0,21.5
2025-03-15 14:36:42.212,17.9,21.5
2025-03-15 14:36:42.412,32.4,21.5
2025-03-15 14:36:42.613,37.1,21.5
2025-03-15 14:36:42.814,19.9,21.5
2025-03-15 14:36:43.015,17.2,21.5
2025-03-15 14:36:43.216,19.7,21.5
2025-03-15 14:36:43.417,15.6,21.5
2025-03-15 14:36:43.618,23.5,21.5
2025-03-15 14:36:43.818,19.0,21.5
2025-03-15 14:36:44.019,24.4,21.5
2025-03-15 14:36:44.220,21.6,21.5
2025-03-15 14:36:44.421,16.2,21.5
2025-03-15 14:36:44.622,19.1,21.5
2025-03-15 14:36:44.823,14.6,21.5
2025-03-15 14:36:45.023,18.4,21.5
2025-03-15 14:36:45.224,23.1,21.5
2025-03-15 14:36:45.425,16.9,21.5
2025-03-15 14:36:45.626,17.3,21.5
2025-03-15 14:36:45.826,14.9,21.5
2025-03-15 14:36:46.027,19.1,21.5
2025-03-15 14:36:46.228,41.8,21.4
2025-03-15 14:36:46.429,20.0,21.4
2025-03-15 14:36:46.630,29.4,21.4
2025-03-15 14:36:46.830,15.8,21.4
2025-03-15 14:36:47.031,17.9,21.4
2025-03-15 14:36:47.232,14.5,21.4
2025-03-15 14:36:47.433,15.7,21.4
2025-03-15 14:36:47.634,24.5,21.4
2025-03-15 14:36:47.835,34.5,21.4
