amcl_Timestamp,amcl_X,amcl_Y,Odom_Timestamp,Odom_X,Odom_Y
135.28,0.02861890128796612,0.0005259228853598574,251.703,0.010719401314985425,5.585923353900752e-06
135.28,0.02861890128796612,0.0005259228853598574,251.803,0.010728613615492768,5.595471928285534e-06
135.28,0.02861890128796612,0.0005259228853598574,251.903,0.010737825916047532,5.605028616883854e-06
135.28,0.02861890128796612,0.0005259228853598574,252.003,0.01074703821664967,5.614593419593937e-06
135.28,0.02861890128796612,0.0005259228853598574,252.103,0.01075625051729923,5.624166336314082e-06
135.28,0.02861890128796612,0.0005259228853598574,252.203,0.010765462817996183,5.633747366942533e-06
135.28,0.02861890128796612,0.0005259228853598574,252.303,0.010774675118740489,5.6433365113775436e-06
135.28,0.02861890128796612,0.0005259228853598574,252.403,0.01078388741953219,5.652933769517423e-06
135.28,0.02861890128796612,0.0005259228853598574,252.503,0.010793099720371258,5.662539141260417e-06
135.28,0.02861890128796612,0.0005259228853598574,252.603,0.01080231202125766,5.672152626504772e-06
135.28,0.02861890128796612,0.0005259228853598574,252.703,0.010811524322191422,5.681774225148791e-06
135.28,0.02861890128796612,0.0005259228853598574,252.803,0.010820736623172532,5.691403937090745e-06
135.28,0.02861890128796612,0.0005259228853598574,252.903,0.010829948924200972,5.701041762228901e-06
135.28,0.02861890128796612,0.0005259228853598574,253.003,0.010839161225276726,5.71068770046152e-06
135.28,0.02861890128796612,0.0005259228853598574,253.103,0.010848373526399797,5.720341751686897e-06
135.28,0.02861890128796612,0.0005259228853598574,253.203,0.010857585827570158,5.730003915803288e-06
135.28,0.02861890128796612,0.0005259228853598574,253.303,0.010866798128787863,5.739674192709022e-06
135.28,0.02861890128796612,0.0005259228853598574,253.403,0.010876010430052813,5.74935258230231e-06
135.28,0.02861890128796612,0.0005259228853598574,253.503,0.010885222731365041,5.759039084481463e-06
135.28,0.02861890128796612,0.0005259228853598574,253.603,0.010894435032724553,5.768733699144777e-06
135.28,0.02861890128796612,0.0005259228853598574,253.703,0.01090364733413133,5.778436426190524e-06
135.28,0.02861890128796612,0.0005259228853598574,253.803,0.010912859635585337,5.78814726551696e-06
135.28,0.02861890128796612,0.0005259228853598574,253.903,0.010922071937086606,5.797866217022419e-06
135.28,0.02861890128796612,0.0005259228853598574,254.003,0.01093128423863514,5.807593280605192e-06
135.28,0.02861890128796612,0.0005259228853598574,254.103,0.010940496540230903,5.8173284561635435e-06
