MCL_Timestamp,MCL_X,MCL_Y,Odom_Timestamp,Odom_X,Odom_Y
140.088,0.0007994813376492546,-0.000266943427348129,140.426,0.00046719354435347687,1.2267817449155655e-08
140.288,0.0008132996017472197,-0.00026695962380014385,140.526,0.00047318562344289013,1.26904653935512e-08
140.388,0.000827123730364846,-0.0002669734850474747,140.626,0.00045455498119241093,-1.4434606908580899e-08
140.388,0.000827123730364846,-0.0002669734850474747,140.726,0.0004467780434087655,-6.330102033766096e-08
140.588,0.0010523083577150677,-0.0004213921729922532,140.826,0.0004462135724870415,-7.25710608228175e-08
140.688,0.002310669121711517,-0.002258768091479524,140.926,0.00044552998685544275,-9.461904727363417e-08
140.688,0.002310669121711517,-0.002258768091479524,141.026,0.0004444978947173949,-1.4883273042226476e-07
140.888,0.0002971201450152942,-0.0012154678017510308,141.126,0.0004430285927910573,-2.6303529429728356e-07
140.888,0.0002971201450152942,-0.0012154678017510308,141.226,0.0004410906313700383,-4.724344864893981e-07
141.088,-0.0006392948985296398,-0.00011605174714693555,141.326,0.00043869790919723274,-8.161684448030305e-07
141.088,-0.0006392948985296398,-0.00011605174714693555,141.426,0.00043591441332561085,-1.3304511146684872e-06
141.188,-0.005491445279021074,-0.00745757848198476,141.526,0.00043286852761198605,-2.0361604065351684e-06
141.388,-0.0029456967016274634,-0.011379040634802204,141.626,0.0004295980626651976,-2.967757822197446e-06
141.388,-0.0029456967016274634,-0.011379040634802204,141.726,0.0004264571495095372,-4.038204908016791e-06
141.588,-0.003901079359851542,-0.011189621181908804,141.826,0.0004243107280809804,-4.885346856588618e-06
141.588,-0.003901079359851542,-0.011189621181908804,141.926,0.0004083812164902269,-1.2356024313542727e-05
141.788,-0.004047173385231913,-0.010982955565363878,142.026,0.000375773674686372,-2.9127295049279612e-05
141.788,-0.004047173385231913,-0.010982955565363878,142.126,0.0003511884146084952,-4.343768248331627e-05
141.988,-0.0026065711646441067,-0.011024545799528733,142.226,0.0003299026543584305,-5.722197448936088e-05
141.988,-0.0026065711646441067,-0.011024545799528733,142.326,0.0003048717040741385,-7.524731594384133e-05
142.188,-0.00209955519962857,-0.010939395808994194,142.426,0.0003033965398135836,-7.644757219280522e-05
142.188,-0.00209955519962857,-0.010939395808994194,142.526,0.0002984430141218345,-8.082717992608819e-05
142.388,-0.0023752034341245286,-0.010891134016705948,142.626,0.0002953224324907256,-8.386670113872126e-05
142.388,-0.0023752034341245286,-0.010891134016705948,142.726,0.00029486637098269993,-8.431606784657093e-05
142.588,-0.0015537430496887555,-0.011015768065391342,142.826,0.00029959359613910316,-7.85956005945582e-05
142.788,-0.0006284757662381794,-0.010783934166652008,142.926,0.0003004454444630675,-7.712058708399404e-05
142.788,-0.0006284757662381794,-0.010783934166652008,143.026,0.00029690258354205673,-8.257012917323192e-05
142.888,-0.01341557786377374,-0.016267549371977583,143.176,0.0003049776215363445,-6.871199652247107e-05
142.888,-0.01341557786377374,-0.016267549371977583,143.276,0.0003060185929435606,-6.704836582424844e-05
143.088,-0.016434623231777662,-0.016795662749910678,143.376,0.0003032568072429162,-7.340516406081763e-05
143.088,-0.016434623231777662,-0.016795662749910678,143.476,0.00030350316988276703,-7.318790219508431e-05
143.288,-0.01701566635764983,-0.01762814367750164,143.576,0.000298581242619578,-8.793795845206376e-05
143.288,-0.01701566635764983,-0.01762814367750164,143.676,0.0002950340338549315,-0.00010089213568860538
143.488,-0.01947854967723585,-0.018475067729845494,143.776,0.0002900928849130377,-0.00012324771322647947
143.488,-0.01947854967723585,-0.018475067729845494,143.876,0.00029005769797147324,-0.00012204022344009377
143.688,-0.020253208736748848,-0.020188003707192162,143.976,0.0002925000544478579,-0.00010211352661086268
143.788,-0.009862776241948479,-0.02208871182144676,144.076,0.00029369237289036726,-8.543640585320162e-05
143.788,-0.009862776241948479,-0.02208871182144676,144.176,0.0002940502697144437,-6.954410729867596e-05
143.988,-0.007851788349844395,-0.02263451331974638,144.276,0.00029363489706690207,-5.4170935870231264e-05
143.988,-0.007851788349844395,-0.02263451331974638,144.376,0.00029270424873006966,-4.2233227947276574e-05
144.188,-0.005334364114666152,-0.02396294096584573,144.476,0.00029128843996543497,-3.104956827080413e-05
144.188,-0.005334364114666152,-0.02396294096584573,144.576,0.00028952596703524783,-2.1147246966870287e-05
144.388,-0.0030673907027912043,-0.02510305271905695,144.676,0.0002879077301142215,-1.414323446518692e-05
144.388,-0.0030673907027912043,-0.02510305271905695,144.776,0.00028615508014957124,-7.896388449307798e-06
144.588,-0.001502972343903917,-0.026099087771317118,144.876,0.0002845258264927623,-3.0741455789354504e-06
144.588,-0.001502972343903917,-0.026099087771317118,144.976,0.00028355325941304825,-5.807370005600566e-07
144.788,0.00013406934440380477,-0.027544032743232947,145.076,0.00028637777482298077,-6.714441169016716e-06
144.988,0.001166898909230309,-0.030465460155996653,145.176,0.0002888676850593742,-1.16044772207833e-05
144.988,0.001166898909230309,-0.030465460155996653,145.276,0.00029149833200932493,-1.616159320608533e-05
145.188,0.0006836841427083669,-0.03223386260126462,145.376,0.0002926717230839278,-1.7975907569452686e-05
145.188,0.0006836841427083669,-0.03223386260126462,145.476,0.00029207490958423527,-1.7171340141782245e-05
145.388,0.002013832497714677,-0.03387551780307803,145.576,0.00029076447601421274,-1.5565547299861953e-05
145.388,0.002013832497714677,-0.03387551780307803,145.676,0.0002871403488889381,-1.1455036309834869e-05
145.488,0.014077296279055365,-0.03465580369238642,145.776,0.00028001463837206786,-4.184414085878352e-06
145.488,0.014077296279055365,-0.03465580369238642,145.876,0.0002716748376012832,3.514142847685431e-06
145.788,0.010593501355102019,-0.03477764095571956,145.976,0.00026656253754961975,8.055927158257544e-06
145.788,0.010593501355102019,-0.03477764095571956,146.076,0.0002674013021516893,7.354435996367141e-06
145.888,0.011140058312807661,-0.03693512533534732,146.176,0.0002802147532640135,-1.3403650004201436e-06
145.888,0.011140058312807661,-0.03693512533534732,146.276,0.00027635995998296205,9.770594154673375e-07
146.088,0.012074093146502781,-0.03679574190923583,146.376,0.00027001240527435013,4.372946375544488e-06
146.088,0.012074093146502781,-0.03679574190923583,146.476,0.00027413228890348166,2.6075550874513865e-06
146.288,0.013007943944200464,-0.03628542127242936,146.576,0.0002708889482315846,3.851337676473898e-06
146.288,0.013007943944200464,-0.03628542127242936,146.676,0.00026226658687222604,6.940719368369301e-06
146.488,0.01451316617868084,-0.03668747471105803,146.776,0.0002717616084070959,4.271702668103947e-06
146.488,0.01451316617868084,-0.03668747471105803,146.876,0.00028374070998134806,1.2471417802591462e-06
146.688,0.015055071345686247,-0.036529860782181386,146.976,0.0002867333044907619,6.262160296605397e-07
146.688,0.015055071345686247,-0.036529860782181386,147.076,0.0002957413636037709,-7.378437851205888e-07
146.888,0.015198746518987841,-0.036327781760748946,147.176,0.00028959743110847834,-7.09159092632188e-08
146.888,0.015198746518987841,-0.036327781760748946,147.276,0.0002908751060699662,-3.056717130469507e-07
147.088,0.015544196084036498,-0.036351901379920074,147.376,0.00027369221732310506,-2.7911796853495474e-07
147.288,0.014840954811347971,-0.03625180424475904,147.526,0.00024958224079097384,-1.7249598018940579e-06
147.288,0.014840954811347971,-0.03625180424475904,147.626,0.00023435398676444126,-3.613332452772588e-06
147.488,0.014600326538256565,-0.03593031767685964,147.726,0.00022158930288951196,-5.848098215450396e-06
147.488,0.014600326538256565,-0.03593031767685964,147.826,0.0002097942719451738,-8.507263802836255e-06
147.688,0.0135925842014266,-0.03527163908797691,147.926,0.00019868360599444273,-1.1611267815901972e-05
147.688,0.0135925842014266,-0.03527163908797691,148.026,0.0001899850407373639,-1.4516898134526026e-05
147.788,0.008560382431740357,-0.029526985216981973,148.126,0.0001821927735952027,-1.7542956123212575e-05
147.788,0.008560382431740357,-0.029526985216981973,148.226,0.00017486513979844895,-2.0835943783852657e-05
147.988,0.007055522363408112,-0.028774742924820153,148.326,0.0001699309786624699,-2.3357002099968806e-05
148.188,0.0088531683042866,-0.028173153600368823,148.426,0.00016614904010313976,-2.5493582282098824e-05
148.188,0.0088531683042866,-0.028173153600368823,148.526,0.00017010095034714312,-2.2967050740761296e-05
148.388,0.00983379799335721,-0.028170830243519303,148.626,0.00017351536610449785,-2.0544405643445122e-05
148.388,0.00983379799335721,-0.028170830243519303,148.726,0.00017432410721450977,-1.9899786372588818e-05
148.588,0.009508922050330004,-0.0273992826202669,148.826,0.00017246754101762888,-2.1553785214613872e-05
148.588,0.009508922050330004,-0.0273992826202669,148.926,0.00016984277563389963,-2.412514797487168e-05
148.788,0.011160354212342162,-0.025882369226184317,149.026,0.00016469170737226334,-2.963455424162176e-05
148.788,0.011160354212342162,-0.025882369226184317,149.126,0.00015692839471477714,-3.885281336755487e-05
148.988,0.012721420262990977,-0.02416291344736131,149.226,0.0001486941982924636,-4.96780886967892e-05
148.988,0.012721420262990977,-0.02416291344736131,149.326,0.00013825130321061958,-6.485306264327312e-05
149.088,0.017617950720229567,-0.02267615607689607,149.426,0.00013416235792508834,-7.112962434130693e-05
149.288,0.020618792029890268,-0.020896800780089837,149.526,0.0001385224951581531,-6.340955279222111e-05
149.288,0.020618792029890268,-0.020896800780089837,149.626,0.00014055904495674005,-5.970931047533689e-05
149.488,0.02319622819155711,-0.018961154819993466,149.726,0.00013477318686661764,-7.345868696727674e-05
149.488,0.02319622819155711,-0.018961154819993466,149.826,0.00013774364255737708,-6.506621865547777e-05
149.688,0.025989346830635404,-0.016595085371190896,149.926,0.00013647516129206022,-6.892442024026779e-05
149.688,0.025989346830635404,-0.016595085371190896,150.026,0.00013393648633967846,-7.873566023286782e-05
149.888,0.029450521002100143,-0.013235850998125695,150.126,0.00013177750429615084,-8.885598660437909e-05
149.888,0.029450521002100143,-0.013235850998125695,150.226,0.00012928194644186376,-0.00010405601197980934
149.988,0.03830868671115219,-0.004023533063065772,150.326,0.00013185288353967638,-7.83590688024061e-05
149.988,0.03830868671115219,-0.004023533063065772,150.426,0.00013183835302323072,-7.55952831597714e-05
150.188,0.04430646820768636,0.0011118503957458612,150.526,0.000131880251013183,-6.052408299872414e-05
150.388,0.04511876602802447,0.00289705407819595,150.626,0.00013110956602347358,-4.328415848007523e-05
150.388,0.04511876602802447,0.00289705407819595,150.726,0.00013011272478853837,-3.1086364848836405e-05
150.588,0.04612369945509996,0.0036262461721443618,150.826,0.00013277744867051317,-4.94218049697292e-05
150.588,0.04612369945509996,0.0036262461721443618,150.926,0.0001362550833595145,-6.70600833815315e-05
150.788,0.04721935709107396,0.005203846088963685,151.026,0.00013994639839992937,-8.184979723449505e-05
150.788,0.04721935709107396,0.005203846088963685,151.126,0.0001439978802662384,-9.52731141611346e-05
150.988,0.048595701514571626,0.005772457676754662,151.226,0.0001484219065745331,-0.00010763553222537772
151.088,0.04830337337705877,0.009686694477798545,151.326,0.00015238437573342252,-0.00011717817483007024
151.088,0.04830337337705877,0.009686694477798545,151.426,0.00015626788025140088,-0.00012539156395478752
151.288,0.040162060071943055,0.010927723219870556,151.526,0.00016011768738688278,-0.00013256249015617115
151.288,0.040162060071943055,0.010927723219870556,151.626,0.00016295173195589178,-0.00013726274471591952
151.488,0.038043069798756254,0.012066916956670871,151.726,0.00016545666273666443,-0.00014100973900163952
151.488,0.038043069798756254,0.012066916956670871,151.826,0.00016747453994807142,-0.00014372379454124376
151.688,0.03691211131349099,0.01255782393791886,151.926,0.0001623485790459955,-0.00013753819140198344
151.688,0.03691211131349099,0.01255782393791886,152.026,0.0001583444467886565,-0.00013317451372569253
151.888,0.03683995373318297,0.013810482773185537,152.176,0.00015459627799753605,-0.00012954604909300497
151.888,0.03683995373318297,0.013810482773185537,152.276,0.0001548417227619604,-0.00012973071240395854
152.088,0.03835678374110521,0.014520761717687129,152.376,0.00015571906228129773,-0.0001303815920011625
152.188,0.0447476672638897,0.017026102686952014,152.476,0.00015960744189405285,-0.00013307931938122075
152.188,0.0447476672638897,0.017026102686952014,152.576,0.00016724344680296306,-0.00013779765212608276
152.388,0.0438799466212863,0.016679732119429174,152.676,0.00017622634098687673,-0.0001427509474029322
152.388,0.0438799466212863,0.016679732119429174,152.776,0.00018966942112331762,-0.00014936241965876374
152.588,0.04149698936884865,0.015748801339458503,152.876,0.00018425600400677987,-0.0001468666970453918
152.588,0.04149698936884865,0.015748801339458503,152.976,0.00018891014248229173,-0.00014839186415089182
152.788,0.04010851794789708,0.016672322491606342,153.076,0.00019731207923163698,-0.0001508448233009632
152.988,0.03786651206333083,0.016419286372859308,153.176,0.00019993484540374964,-0.00015164451105529827
152.988,0.03786651206333083,0.016419286372859308,153.276,0.00020868190619396102,-0.00015342651538321526
153.088,0.03601385761595175,0.015141499185693503,153.376,0.00021508581426720342,-0.00015445623001523727
153.088,0.03601385761595175,0.015141499185693503,153.476,0.00021852058182557507,-0.00015498760978598994
153.288,0.03298570709575948,0.015223550447148262,153.576,0.00021916307894199444,-0.000155030150341851
153.288,0.03298570709575948,0.015223550447148262,153.676,0.00021178630050657188,-0.00015479918307685975
153.488,0.032322930537943044,0.015495652419481193,153.776,0.00021295594562665082,-0.00015466954790673538
153.688,0.031730693082359186,0.015134768100813052,153.876,0.00019922188039314852,-0.00015594350763183663
153.688,0.031730693082359186,0.015134768100813052,153.976,0.00017958355420048407,-0.00015863170513621003
153.788,0.026806546782411927,0.01521253113680421,154.076,0.0001590439466117492,-0.00016256861857976343
153.788,0.026806546782411927,0.01521253113680421,154.176,0.0001529695528337399,-0.00016375744966047357
153.988,0.028334611823376613,0.015360057374775724,154.276,0.00016975582790175,-0.0001587360603654664
153.988,0.028334611823376613,0.015360057374775724,154.376,0.00018409933831575523,-0.00015365252675875494
154.188,0.024129416426337622,0.015806401581128348,154.476,0.00019748558507442276,-0.00014816363362811806
154.188,0.024129416426337622,0.015806401581128348,154.576,0.00021017948215475902,-0.00014219291684339019
154.388,0.02132000768215848,0.014821446191824806,154.676,0.00022043927118093,-0.00013672567126225518
154.588,0.018215551062335255,0.014428068457978822,154.776,0.00022966785268812242,-0.0001312197545548192
154.588,0.018215551062335255,0.014428068457978822,154.876,0.000238130960045428,-0.00012556863469353696
154.788,0.015412200362435076,0.013790991908280127,154.976,0.00024444969936362684,-0.00012087673553215962
154.788,0.015412200362435076,0.013790991908280127,155.076,0.0002499743080553173,-0.00011634933205254017
154.988,0.012833093208745358,0.012841518845280675,155.176,0.00025494255727482473,-0.00011183143130921875
