X_true,Y_true,X_Fake,Y_Fake,Re-Localize_time (ms),Pose Diff,Status
0,0,-0.743484034256126,-0.6290992613130628,99.06172752380371,0.9739273021013455,Success
0,0,0.7074748668529638,0.5882869072757346,148.3924388885498,0.9201098697985299,Success
0,0,0.07423901017375778,-0.8916483123105843,146.4073657989502,0.8947335600489638,Success
0,0,-0.0549089384753183,0.5980980074266686,184.80944633483887,0.6006132016632981,Success
0,0,-0.6194026550799652,-0.5701529646086578,1233.3714962005615,0.841863440334685,Success
0,0,-0.4818880950581208,0.14116818974514422,164.3991470336914,0.5021400142934892,Success
0,0,0.4825152208716479,0.7292282140688087,172.04999923706055,0.8744110741332131,Success
0,0,0.23138851645084002,-0.6238406378304175,1755.218267440796,0.6653704133443137,Success
0,0,0.572338194275831,0.5261254517592795,144.06466484069824,0.7774181626485356,Success
0,0,0.44493306069803573,-0.5183549555931928,Timeout,0.683123186907122,Failed
