X_true,Y_true,X_Fake,Y_Fake,Re-Localize_time (ms),Pose Diff,Status
0,0,0.21102732970445537,0.36109525491493444,105.73530197143555,0.4182371540218234,Success
0,0,-0.6800951641352289,0.43872738818579693,165.4505729675293,0.809327593391239,Success
0,0,-0.6924712071778976,-0.4220631305331437,150.5589485168457,0.8109584816289008,Success
0,0,0.7285033759084458,-0.590442104596788,2440.2706623077393,0.9377307969725035,Success
0,0,0.007003568065404808,0.3102819921474562,150.39873123168945,0.31036102303066476,Success
0,0,0.47609728016025654,0.7523023363459853,170.09210586547852,0.890296257123224,Success
0,0,0.6228364965708753,-0.5160639068364214,1496.8290328979492,0.8088555231930808,Success
0,0,0.7351709561707698,0.547188858760753,148.8211154937744,0.9164562084185688,Success
0,0,0.5824925314449978,0.7900676177810879,914.2334461212158,0.9815825945153495,Success
0,0,0.7104973652691682,0.04514610228685112,145.54452896118164,0.7119302470088799,Success
