MCL_time,MCL_X,MCL_Y,Odom_time,Odom_X,Odom_Y,Distance
140.293,0.0008179330057870146,-0.0002669650938521062,140.533,0.00047659003082358196,1.2732033141686842e-08,0.0004333499579684996
140.393,0.0008317571335251896,-0.00026697895026233504,140.633,0.00048580227253935515,1.319545706999533e-08,0.0004370006541363297
140.393,0.0008317571335251896,-0.00026697895026233504,140.733,0.0004950145143338919,1.366710911647207e-08,0.00042974486536859717
140.593,0.0008477756576440074,-0.0002672471148817059,140.833,0.0005042267562077175,1.41469891779139e-08,0.0004352636324974771
140.693,0.0008615939189964329,-0.00026726325209939643,140.933,0.0005134389981607801,1.46350971510955e-08,0.0004389183499084198
140.693,0.0008615939189964329,-0.00026726325209939643,141.033,0.0005226512401929616,1.5131432932794547e-08,0.0004316478585816545
140.893,0.0008754121825495956,-0.00026727936931679827,141.133,0.001089938245850162,-7.065488760293356e-08,0.0003426688326973171
141.093,0.0010158062879659963,-0.00027085529074529125,141.233,0.0035759482487405614,-4.803453336259812e-06,0.0025739289888237703
141.093,0.0010158062879659963,-0.00027085529074529125,141.333,0.008078381248431712,-2.4433267550447256e-05,0.007066872638282987
141.193,0.004327985135916897,-0.0005984904138274062,141.433,0.01459511084321013,-5.7140585268512e-05,0.010281387548684384
141.393,0.012765606777257903,-0.000591639219652502,141.533,0.02309841317980347,-0.00011134158425837884,0.010343963165588508
141.393,0.012765606777257903,-0.000591639219652502,141.633,0.03360123315958644,-0.00020247178179792034,0.020839260496444478
141.493,0.024711958464365767,-0.0007679500014202137,141.733,0.04610283690910908,-0.0003212073383920173,0.021395542985508772
141.693,0.04262785605420944,-0.0008237180114847107,141.833,0.06060081330673006,-0.0004794324770531168,0.01797625447444913
141.693,0.04262785605420944,-0.0008237180114847107,141.933,0.07709472227534486,-0.0006942386927721711,0.03446710942332734
141.793,0.06347957313534885,-0.0011043089192161164,142.033,0.09558198587325226,-0.0009502418026534557,0.0321027824381487
141.993,0.09054448147495572,-0.0017319081138174167,142.133,0.11606265577173033,-0.0012714288528676394,0.025522328667077643
141.993,0.09054448147495572,-0.0017319081138174167,142.233,0.13853684442070172,-0.001665052500244139,0.047992409512226816
142.093,0.11984377053690501,-0.0023880597380892287,142.333,0.16300948992754563,-0.002116222185254672,0.04316657533516713
142.293,0.15567211411301474,-0.0028027943445352774,142.433,0.18947971367847755,-0.0026602824767399044,0.03380789993494337
142.293,0.15567211411301474,-0.0028027943445352774,142.533,0.21794536416977262,-0.0032790033877678148,0.06227507083644587
142.393,0.19424773399010925,-0.003668690546404595,142.633,0.24840878343553538,-0.00398930062743182,0.05416199837389634
142.593,0.23949387023767035,-0.0048184835664711835,142.733,0.28086758937298456,-0.004801854094670217,0.041373722477282576
