MCL_time,MCL_X,MCL_Y,Odom_time,Odom_X,Odom_Y,Distance
459.473,0.00831248276101692,0.030979361724339453,459.718,0.003219807020102574,5.058614694120208e-07,0.03139466287085394
459.473,0.00831248276101692,0.030979361724339453,459.818,0.003229019279945048,5.087563822411721e-07,0.03139316696629543
459.673,0.008325051274388226,0.030977154938987818,459.918,0.0032382315398383228,5.116594910466399e-07,0.03139153012959067
459.873,0.008340402045300123,0.030981616427063832,460.018,0.003247443799783345,5.145707957259776e-07,0.03139692494367938
459.873,0.008340402045300123,0.030981616427063832,460.118,0.0032566560597808818,5.174902961766843e-07,0.03139542903951256
459.973,0.00835406811694499,0.030979413782104438,460.218,0.003265868319831488,5.204179922961911e-07,0.031393974123076186
459.973,0.00835406811694499,0.030979413782104438,460.318,0.003973121339369927,9.509437174772453e-07,0.031286704116881135
460.173,0.008368043773644253,0.03098157193375909,460.418,0.006644529682406876,9.320795562693276e-06,0.031020168300481574
460.273,0.009237903032796015,0.031230866361465808,460.518,0.011328816998190726,5.640311188443538e-05,0.031244504798607103
460.273,0.009237903032796015,0.031230866361465808,460.618,0.01800974179552717,0.0002031994881792685,0.03224377873139245
460.473,0.0140449971247599,0.03078322469046998,460.718,0.0266969780248453,0.0005408701289810652,0.032782199897489116
460.673,0.02578151555080405,0.028065461704039108,460.818,0.03737081092358191,0.0011901369176837533,0.029267641681720392
460.673,0.02578151555080405,0.028065461704039108,460.918,0.05001594063461905,0.002301471787057096,0.03537075819918754
460.773,0.027465700130539894,0.03462747983778748,461.018,0.06460310294724457,0.004054042643460131,0.0481032405337277
460.773,0.027465700130539894,0.03462747983778748,461.118,0.08108998957886394,0.006655147645730159,0.060481532612033276
460.973,0.059602035147538465,0.036752060930008365,461.218,0.09941322354627295,0.01033854175906296,0.04777661265424153
460.973,0.059602035147538465,0.036752060930008365,461.318,0.11948139870142524,0.01535842249546888,0.06358636603145637
461.173,0.09083755534663003,0.03863373503323011,461.418,0.14118270007186506,0.021938766295013776,0.053041074447779446
461.173,0.09083755534663003,0.03863373503323011,461.518,0.16443278132782826,0.030213130034966052,0.07407539318667451
