Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-16 15:26:08.450,36.6,24.6
2025-03-16 15:26:08.552,19.8,24.6
2025-03-16 15:26:08.653,22.2,24.6
2025-03-16 15:26:08.755,13.9,24.6
2025-03-16 15:26:08.857,19.2,24.6
2025-03-16 15:26:08.958,12.7,24.6
2025-03-16 15:26:09.060,17.6,24.6
2025-03-16 15:26:09.161,14.6,24.6
2025-03-16 15:26:09.263,16.5,24.6
2025-03-16 15:26:09.365,11.0,24.6
2025-03-16 15:26:09.466,13.9,24.6
2025-03-16 15:26:09.567,13.8,24.6
2025-03-16 15:26:09.670,13.2,24.6
2025-03-16 15:26:09.771,23.1,24.6
2025-03-16 15:26:09.873,26.2,24.6
2025-03-16 15:26:09.975,25.0,24.6
2025-03-16 15:26:10.076,25.6,24.6
2025-03-16 15:26:10.178,11.3,24.6
2025-03-16 15:26:10.280,15.1,24.6
2025-03-16 15:26:10.382,11.3,24.6
2025-03-16 15:26:10.483,18.6,24.6
2025-03-16 15:26:10.585,11.8,24.6
2025-03-16 15:26:10.686,14.0,24.6
2025-03-16 15:26:10.788,13.1,24.6
2025-03-16 15:26:10.890,14.5,24.6
2025-03-16 15:26:10.991,12.4,24.6
2025-03-16 15:26:11.094,20.7,24.6
2025-03-16 15:26:11.195,26.3,24.6
2025-03-16 15:26:11.297,23.2,24.6
2025-03-16 15:26:11.399,16.4,24.6
2025-03-16 15:26:11.500,19.4,24.6
2025-03-16 15:26:11.602,13.8,24.6
2025-03-16 15:26:11.703,14.4,24.6
2025-03-16 15:26:11.805,12.5,24.6
2025-03-16 15:26:11.908,13.0,24.6
2025-03-16 15:26:12.009,12.6,24.6
2025-03-16 15:26:12.111,11.3,24.6
2025-03-16 15:26:12.213,12.4,24.6
2025-03-16 15:26:12.314,11.0,24.6
2025-03-16 15:26:12.416,12.0,24.6
2025-03-16 15:26:12.518,13.9,24.6
2025-03-16 15:26:12.619,25.8,24.6
2025-03-16 15:26:12.721,33.3,24.6
2025-03-16 15:26:12.823,32.1,24.6
2025-03-16 15:26:12.924,12.4,24.6
2025-03-16 15:26:13.026,12.7,24.6
2025-03-16 15:26:13.128,11.6,24.6
2025-03-16 15:26:13.229,12.8,24.6
2025-03-16 15:26:13.331,13.9,24.6
2025-03-16 15:26:13.432,19.4,24.6
2025-03-16 15:26:13.534,16.5,24.6
2025-03-16 15:26:13.635,21.0,24.6
2025-03-16 15:26:13.737,20.7,24.6
2025-03-16 15:26:13.838,23.7,24.6
2025-03-16 15:26:13.940,28.2,24.6
2025-03-16 15:26:14.041,22.0,24.6
2025-03-16 15:26:14.142,23.1,24.6
2025-03-16 15:26:14.244,14.8,24.6
2025-03-16 15:26:14.346,15.8,24.6
2025-03-16 15:26:14.447,14.5,24.6
2025-03-16 15:26:14.549,12.4,24.6
2025-03-16 15:26:14.651,13.2,24.6
2025-03-16 15:26:14.752,10.7,24.6
2025-03-16 15:26:14.855,16.5,24.6
2025-03-16 15:26:14.956,11.0,24.6
2025-03-16 15:26:15.057,16.5,24.6
2025-03-16 15:26:15.159,12.2,24.6
2025-03-16 15:26:15.261,16.5,24.6
2025-03-16 15:26:15.362,16.5,24.6
2025-03-16 15:26:15.464,32.3,24.6
2025-03-16 15:26:15.566,18.7,24.6
2025-03-16 15:26:15.668,13.7,24.6
2025-03-16 15:26:15.769,13.7,24.6
2025-03-16 15:26:15.871,14.8,24.6
2025-03-16 15:26:15.973,16.4,24.6
2025-03-16 15:26:16.082,14.7,24.6
2025-03-16 15:26:16.184,12.3,24.6
2025-03-16 15:26:16.285,13.1,24.6
2025-03-16 15:26:16.388,15.8,24.6
2025-03-16 15:26:16.489,19.4,24.6
2025-03-16 15:26:16.591,16.8,24.6
2025-03-16 15:26:16.692,31.9,24.6
2025-03-16 15:26:16.794,33.8,24.6
2025-03-16 15:26:16.896,39.5,24.6
2025-03-16 15:26:16.998,15.5,24.6
2025-03-16 15:26:17.100,17.6,24.6
2025-03-16 15:26:17.201,11.3,24.6
2025-03-16 15:26:17.303,18.7,24.6
2025-03-16 15:26:17.404,13.5,24.6
2025-03-16 15:26:17.506,15.1,24.6
2025-03-16 15:26:17.608,13.6,24.6
2025-03-16 15:26:17.709,11.8,24.6
2025-03-16 15:26:17.811,14.7,24.6
2025-03-16 15:26:17.912,16.3,24.6
2025-03-16 15:26:18.014,35.6,24.6
2025-03-16 15:26:18.115,30.8,24.6
2025-03-16 15:26:18.217,15.9,24.6
2025-03-16 15:26:18.318,14.6,24.6
2025-03-16 15:26:18.420,15.8,24.6
2025-03-16 15:26:18.521,12.0,24.6
2025-03-16 15:26:18.623,13.7,24.6
