Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 10:36:56.477,15.4,20.9
2025-03-15 10:36:56.679,25.0,20.9
2025-03-15 10:36:56.879,33.9,20.9
2025-03-15 10:36:57.080,14.9,20.9
2025-03-15 10:36:57.281,17.6,20.9
2025-03-15 10:36:57.482,19.7,21.0
2025-03-15 10:36:57.682,14.2,21.0
2025-03-15 10:36:57.883,16.0,21.0
2025-03-15 10:36:58.084,26.3,21.0
2025-03-15 10:36:58.284,33.9,21.0
2025-03-15 10:36:58.485,20.7,21.0
2025-03-15 10:36:58.686,15.3,21.0
2025-03-15 10:36:58.887,15.4,21.0
2025-03-15 10:36:59.088,17.6,21.0
2025-03-15 10:36:59.288,18.1,21.0
2025-03-15 10:36:59.489,30.9,21.0
2025-03-15 10:36:59.690,25.4,21.0
2025-03-15 10:36:59.891,17.9,21.0
2025-03-15 10:37:00.092,16.0,21.0
2025-03-15 10:37:00.292,15.2,21.0
2025-03-15 10:37:00.493,24.0,21.0
2025-03-15 10:37:00.694,14.8,21.0
2025-03-15 10:37:00.894,37.6,21.0
2025-03-15 10:37:01.095,23.0,21.0
2025-03-15 10:37:01.296,14.1,21.0
2025-03-15 10:37:01.497,18.1,21.0
2025-03-15 10:37:01.697,14.7,21.0
2025-03-15 10:37:01.898,16.0,21.0
2025-03-15 10:37:02.099,15.3,21.0
2025-03-15 10:37:02.300,31.6,21.0
2025-03-15 10:37:02.501,18.7,21.0
2025-03-15 10:37:02.701,16.3,21.0
2025-03-15 10:37:02.902,19.7,21.0
2025-03-15 10:37:03.103,17.5,21.0
2025-03-15 10:37:03.304,16.2,21.0
2025-03-15 10:37:03.504,36.7,21.0
2025-03-15 10:37:03.705,19.2,21.0
2025-03-15 10:37:03.906,21.9,21.0
2025-03-15 10:37:04.107,14.6,21.0
2025-03-15 10:37:04.308,15.2,21.0
2025-03-15 10:37:04.508,18.0,21.0
2025-03-15 10:37:04.709,20.5,21.0
2025-03-15 10:37:04.910,20.3,21.0
2025-03-15 10:37:05.111,25.6,21.0
2025-03-15 10:37:05.311,16.3,21.0
2025-03-15 10:37:05.512,17.1,21.0
2025-03-15 10:37:05.713,13.4,21.0
2025-03-15 10:37:05.913,17.2,21.0
2025-03-15 10:37:06.114,15.1,21.0
2025-03-15 10:37:06.315,20.4,21.0
2025-03-15 10:37:06.516,28.3,21.0
2025-03-15 10:37:06.717,13.3,21.0
2025-03-15 10:37:06.917,16.7,21.0
2025-03-15 10:37:07.118,14.1,21.0
2025-03-15 10:37:07.319,13.3,21.0
2025-03-15 10:37:07.520,22.8,21.0
2025-03-15 10:37:07.720,30.6,21.0
2025-03-15 10:37:07.921,34.0,21.0
2025-03-15 10:37:08.122,16.1,21.0
2025-03-15 10:37:08.322,14.5,21.0
2025-03-15 10:37:08.523,19.6,21.0
2025-03-15 10:37:08.724,14.5,21.0
2025-03-15 10:37:08.925,16.7,21.0
2025-03-15 10:37:09.125,24.7,21.0
2025-03-15 10:37:09.326,22.2,21.0
2025-03-15 10:37:09.527,17.4,21.0
2025-03-15 10:37:09.727,15.0,21.0
2025-03-15 10:37:09.928,15.4,21.0
2025-03-15 10:37:10.129,13.9,21.0
2025-03-15 10:37:10.330,16.6,21.0
2025-03-15 10:37:10.530,26.9,21.0
2025-03-15 10:37:10.731,24.7,21.0
2025-03-15 10:37:10.932,20.8,21.0
2025-03-15 10:37:11.133,14.4,21.0
2025-03-15 10:37:11.333,15.9,21.0
2025-03-15 10:37:11.534,16.2,21.0
2025-03-15 10:37:11.735,15.1,21.0
2025-03-15 10:37:11.935,35.1,21.0
2025-03-15 10:37:12.136,16.2,21.0
2025-03-15 10:37:12.337,14.9,21.0
2025-03-15 10:37:12.537,13.4,21.0
2025-03-15 10:37:12.738,12.1,21.0
2025-03-15 10:37:12.939,21.2,21.0
2025-03-15 10:37:13.140,14.9,21.0
2025-03-15 10:37:13.341,17.6,21.0
2025-03-15 10:37:13.542,15.0,21.0
2025-03-15 10:37:13.742,11.4,21.0
2025-03-15 10:37:13.943,15.6,21.0
2025-03-15 10:37:14.144,12.8,21.0
2025-03-15 10:37:14.345,13.2,21.0
2025-03-15 10:37:14.545,27.6,21.0
2025-03-15 10:37:14.746,28.0,21.0
2025-03-15 10:37:14.947,18.4,21.0
2025-03-15 10:37:15.148,12.8,21.0
2025-03-15 10:37:15.348,13.9,21.0
2025-03-15 10:37:15.549,12.9,21.0
2025-03-15 10:37:15.750,26.0,21.0
2025-03-15 10:37:15.951,30.5,21.1
2025-03-15 10:37:16.152,22.4,21.0
2025-03-15 10:37:16.352,23.6,21.0
2025-03-15 10:37:16.553,14.0,21.1
2025-03-15 10:37:16.754,15.6,21.1
2025-03-15 10:37:16.955,17.3,21.1
2025-03-15 10:37:17.156,17.5,21.1
2025-03-15 10:37:17.356,40.8,21.0
2025-03-15 10:37:17.557,14.8,21.0
2025-03-15 10:37:17.758,12.0,21.0
2025-03-15 10:37:17.959,16.0,21.0
2025-03-15 10:37:18.159,12.0,21.0
2025-03-15 10:37:18.360,12.5,21.0
2025-03-15 10:37:18.561,17.4,21.0
2025-03-15 10:37:18.761,28.1,21.0
2025-03-15 10:37:18.962,23.3,21.0
2025-03-15 10:37:19.163,10.1,21.0
2025-03-15 10:37:19.364,10.8,21.0
2025-03-15 10:37:19.564,10.1,21.1
2025-03-15 10:37:19.765,12.5,21.1
2025-03-15 10:37:19.966,30.7,21.1
2025-03-15 10:37:20.166,30.7,21.1
2025-03-15 10:37:20.367,12.7,21.0
2025-03-15 10:37:20.568,12.2,21.0
2025-03-15 10:37:20.769,10.1,21.0
2025-03-15 10:37:20.969,16.1,21.0
2025-03-15 10:37:21.170,14.2,21.0
2025-03-15 10:37:21.371,12.0,21.0
2025-03-15 10:37:21.572,13.1,21.0
2025-03-15 10:37:21.773,12.7,21.0
2025-03-15 10:37:21.973,16.8,21.0
2025-03-15 10:37:22.174,11.9,21.0
2025-03-15 10:37:22.375,11.3,21.0
2025-03-15 10:37:22.576,15.4,21.0
2025-03-15 10:37:22.776,27.7,21.0
