MCL_time,MCL_X,MCL_Y,Odom_time,Odom_X,Odom_Y,Distance
505.777,0.006521799959689737,0.009548515055434734,506.028,0.000275264811437555,4.659315982304138e-09,0.011410225770909962
505.977,0.006537226143658977,0.009547004069452811,506.128,0.00028447705919472615,4.942896355398898e-09,0.011412364498023108
505.977,0.006537226143658977,0.009547004069452811,506.228,0.0002936893033681519,5.234706972859085e-09,0.011407319537328089
506.077,0.006549436644437569,0.009548515711078105,506.328,0.0003029015449663725,5.5347477620834265e-09,0.011410225560277489
506.277,0.006561688368124503,0.009547172825480685,506.428,0.0003121137847402473,5.843018643479958e-09,0.011410765963084855
506.277,0.006561688368124503,0.009547172825480685,506.528,0.0003213260232475224,6.159519532028947e-09,0.011405722841757919
506.377,0.0065770733015829115,0.009548516440785023,506.628,0.0009335778736225164,-1.122882847637265e-07,0.011091679370186769
506.577,0.0068062420874483625,0.009632431035988927,506.728,0.003481117100949652,-6.501445766435559e-06,0.010196346186927777
506.577,0.0068062420874483625,0.009632431035988927,506.828,0.008057730415284388,-4.4442938768036586e-05,0.009757464473829174
506.677,0.009699742728713856,0.007322283286353839,506.928,0.014614560528587098,-0.0001391482313399585,0.008934673709721314
506.877,0.018892307756764648,0.007768194158764118,507.028,0.02317008472283477,-0.00029252794712974616,0.009125492679296068
506.877,0.018892307756764648,0.007768194158764118,507.128,0.03371802683244148,-0.0005126068474580739,0.016981566812739584
506.977,0.03017290735769489,0.008020034740175005,507.228,0.04626144118493858,-0.0008100799438986655,0.018352434335647625
507.177,0.04847161642845526,0.007490087236142447,507.328,0.06080791479883872,-0.0011596601206825608,0.015066598382515771
507.177,0.04847161642845526,0.007490087236142447,507.428,0.07735070968225954,-0.0015684751529366282,0.030266476169497535
507.277,0.06814721315838226,0.007117871547638089,507.528,0.09588760173467013,-0.002081642474032456,0.02922601951341228
507.477,0.09549968750883937,0.005954478119830651,507.628,0.11641351710969297,-0.0026817773724165115,0.02262682429111318
507.477,0.09549968750883937,0.005954478119830651,507.728,0.1389388689351318,-0.0033392111236753624,0.044422237029906636
507.577,0.12337999247122983,0.005637703556221132,507.828,0.16346284373709,-0.004098231960237387,0.041248313977442844
507.577,0.12337999247122983,0.005637703556221132,507.928,0.189976489772809,-0.0049828372355248,0.0674380407451787
507.777,0.16056156735482835,0.0040778815816713545,508.028,0.21848768722396605,-0.00594354578141563,0.05878660025454218
507.877,0.19684826845645426,0.003208161273482796,508.128,0.2490022962914381,-0.006988748102387207,0.05314150524996423
507.877,0.19684826845645426,0.003208161273482796,508.228,0.28151160962173155,-0.008126635386815921,0.08541872717734944
508.077,0.24422293584023563,0.0019675094724089927,508.328,0.31603462263180415,-0.009303866934065751,0.07269086796803827
508.177,0.2878573941867329,0.00018085595054350505,508.428,0.35254861174716645,-0.010552382867951625,0.06557557506409073
508.177,0.2878573941867329,0.00018085595054350505,508.528,0.39104679504130124,-0.011896498225398124,0.10389376753499667
508.377,0.3460494730699851,-0.0011628864106676897,508.628,0.4315475782983053,-0.013279734114226695,0.08635244059031658
508.577,0.42327366509729913,-0.003521519796233257,508.728,0.474042806180978,-0.014738445337147119,0.051993510219688906
508.577,0.42327366509729913,-0.003521519796233257,508.828,0.5185323861480228,-0.016287666260076186,0.09611034508186862
508.677,0.4770240619911303,-0.005471633680707736,508.928,0.5650204598455181,-0.017876026906012935,0.08886638850901786
508.877,0.5469456571061306,-0.007064580162317299,509.028,0.6135064356536825,-0.01955391081498847,0.06772237902649306
508.877,0.5469456571061306,-0.007064580162317299,509.128,0.6634041050959186,-0.021283964596410458,0.1173233182358677
508.977,0.6131092336487474,-0.008803035871713646,509.228,0.7133419341060462,-0.022996461969175458,0.1012326409086847
508.977,0.6131092336487474,-0.008803035871713646,509.328,0.7632669098971767,-0.024734931487976144,0.15100050673509546
509.177,0.7082346489512295,-0.01135202781011583,509.428,0.8131938757661725,-0.026455008707387182,0.10604027218738175
509.377,0.7877091092431464,-0.01346899386543859,509.528,0.8631200792049308,-0.02818686689376855,0.07683378278501712
509.377,0.7877091092431464,-0.01346899386543859,509.628,0.9130497811245651,-0.02990429603481992,0.12641361946042184
509.477,0.8558457723915439,-0.015363250440963927,509.728,0.9629767185010837,-0.03148279387035768,0.10833687873802358
509.677,0.9385502853939411,-0.017837876090212385,509.828,1.0129122822589314,-0.032947245062953004,0.07588148396350215
509.677,0.9385502853939411,-0.017837876090212385,509.928,1.0628434843801666,-0.034409160523050986,0.12539300930268593
509.777,1.0091351866689324,-0.01951794477357927,510.028,1.1127829082856189,-0.03580964693874925,0.10492030192373988
509.777,1.0091351866689324,-0.01951794477357927,510.128,1.1627234397713984,-0.037062680304549546,0.15458709272096047
509.977,1.09252001445809,-0.02169015831723649,510.228,1.2126625168559093,-0.0382601571088279,0.12127978290862564
510.077,1.1575833022025346,-0.023216442556256767,510.328,1.2626083381921054,-0.03944417518032251,0.1062713389900062
510.077,1.1575833022025346,-0.023216442556256767,510.428,1.3125502175472334,-0.04052328389604161,0.15593034216794224
510.277,1.2548942577554403,-0.025133365085169945,510.528,1.362497022473731,-0.04152146592726137,0.1088435796187831
510.477,1.3353922829919158,-0.026562580923950516,510.628,1.4124407448110785,-0.0425180623240608,0.07868318025733477
510.477,1.3353922829919158,-0.026562580923950516,510.728,1.462383380138466,-0.04351508940533739,0.1281176268055885
510.577,1.4029929608487934,-0.027697286182989087,510.828,1.5123260138338726,-0.044512311790478244,0.11061854076608783
510.577,1.4029929608487934,-0.027697286182989087,510.928,1.5622686440728293,-0.04550968943204898,0.16026860258949827
510.777,1.4865720953821344,-0.02932343906470023,511.028,1.6122112739388028,-0.046507216165412896,0.1268088537281265
510.977,1.5915768514620854,-0.03121474009558732,511.128,1.6621588663351963,-0.047498704982004446,0.07243609829339313
510.977,1.5915768514620854,-0.03121474009558732,511.228,1.7121084978420198,-0.04840302502061906,0.12175103661867372
511.077,1.6597290007861865,-0.03232940904823106,511.328,1.7620629199866757,-0.04918832357028606,0.1037133261340809
511.077,1.6597290007861865,-0.03232940904823106,511.428,1.8120138542363091,-0.0499459554913677,0.1533004217179735
511.277,1.7387103440592373,-0.033417019661198796,511.528,1.8619670930873673,-0.05063117263327993,0.12445301620904829
511.377,1.8070330679671829,-0.034466089355121604,511.628,1.9119235651056454,-0.051200918949199314,0.10621709331127753
511.377,1.8070330679671829,-0.034466089355121604,511.728,1.9618847292984771,-0.05178951923245327,0.1558176441863266
